
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. M2S010_I2C_UART, 0, 0, 0, 0, 0, 0, 0, 1, 5
.	. M2S010_I2C_UART_FCCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. M2S010_I2C_UART_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. M2S010_I2C_UART_OSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
